"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70"
"11",2,4,1,1,3,2,3,1,3,2,0,1,2,3,3,2,1,2,4,2,3,2,3,2,3,3,1,5,2,3,4,3,4,5,3,4,5,1,1,5,2,2,1,1,1,2,4,1,1,3,1,3,2,3,1,4,2,4,1,3,3,4,3,1,1,2,1,2,3,2
"12",2,3,2,1,2,5,2,1,2,2,2,0,1,4,2,1,2,2,2,5,3,1,4,1,3,4,1,3,4,1,2,2,2,3,3,3,4,4,2,4,2,4,2,3,1,2,3,2,1,2,2,2,1,4,3,1,2,4,2,4,1,3,3,2,2,1,1,3,2,3
"13",2,2,4,1,3,3,3,2,2,1,1,1,0,5,4,4,2,1,2,4,2,2,2,1,1,4,1,3,3,4,3,1,1,5,3,1,5,3,2,5,1,2,4,4,2,1,1,1,2,4,4,2,1,4,1,1,1,4,2,2,2,1,1,1,3,1,1,3,3,1
"14",2,4,2,2,3,5,3,2,3,2,3,2,1,0,4,4,1,2,2,5,5,4,5,2,4,5,1,4,2,5,2,4,2,5,4,5,5,4,1,5,2,2,3,2,1,3,2,1,4,3,4,2,2,5,1,4,5,5,1,4,2,2,2,1,4,3,4,2,5,2
"15",4,4,3,4,2,4,3,4,4,4,3,2,5,4,0,5,4,2,4,5,4,5,5,3,5,5,2,4,3,5,5,4,4,5,4,5,5,5,5,5,5,3,4,4,1,5,2,2,4,5,5,2,4,5,4,5,4,5,3,5,4,5,5,2,4,5,2,4,5,3
"16",5,5,4,5,4,5,1,3,4,5,4,2,3,5,4,0,2,4,5,5,4,5,5,4,5,5,2,4,4,4,4,4,3,5,4,5,5,5,4,5,5,4,3,4,2,5,4,3,3,5,4,4,4,5,3,2,3,4,4,5,4,3,4,5,5,5,2,5,4,2
"17",4,5,5,5,5,5,4,5,5,3,5,2,5,5,5,5,0,5,5,5,4,5,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,4,5,3,5,5,5,5,5,5,4
"18",3,5,2,2,2,3,1,2,5,2,4,1,3,4,2,2,3,0,3,4,3,3,4,2,3,4,4,2,1,4,3,3,1,5,2,5,3,1,1,5,2,3,3,1,2,4,2,2,2,2,3,1,1,3,1,2,5,4,1,3,3,3,1,2,2,2,2,3,2,1
"19",4,5,2,3,2,2,1,3,3,2,2,1,1,2,1,1,3,1,0,3,2,2,2,1,2,3,2,2,1,1,2,4,2,2,3,3,4,2,2,2,2,2,1,2,2,2,1,1,3,3,1,2,1,3,1,5,3,2,1,4,3,3,2,1,1,1,1,3,2,2
"20",3,4,2,3,3,5,4,1,2,3,1,2,3,5,3,3,1,2,1,0,2,3,4,3,2,5,2,3,3,5,4,2,1,4,3,4,5,4,2,5,2,3,3,3,1,4,2,2,3,3,3,2,1,5,4,3,3,4,3,3,3,4,3,4,4,3,2,3,5,2
"21",2,4,2,2,2,5,1,1,3,1,1,1,1,5,3,2,2,3,3,4,0,2,3,1,2,4,1,4,2,1,3,1,4,5,5,2,5,3,1,4,2,2,1,1,2,4,3,1,1,2,3,3,1,4,1,2,4,3,1,3,2,2,1,2,3,2,2,4,3,1
"22",4,5,1,3,4,5,3,4,5,2,2,2,3,3,3,4,4,3,5,5,3,0,5,4,3,5,1,3,2,3,3,4,2,5,5,5,5,3,5,4,3,4,2,4,3,3,3,2,3,5,3,4,3,5,2,3,5,5,3,4,1,4,4,3,4,3,3,5,3,3
"23",5,5,4,5,5,5,3,4,5,4,2,3,5,5,4,4,4,4,5,5,4,4,0,5,5,5,3,5,5,5,4,4,5,4,4,5,5,5,4,5,4,5,4,5,2,4,5,2,3,5,4,5,3,5,3,4,5,5,4,5,3,4,4,4,5,5,4,5,5,5
"24",4,3,2,4,4,5,3,3,5,4,2,3,3,5,4,5,3,1,5,4,5,3,5,0,4,5,3,5,4,4,2,2,3,4,4,5,5,2,3,5,4,5,1,1,2,4,5,1,3,4,3,2,4,4,4,4,4,4,1,5,2,5,3,4,3,5,2,3,4,4
"25",3,4,2,4,5,5,4,1,4,4,1,2,5,5,5,5,3,1,4,5,4,4,5,4,0,5,2,5,3,5,5,4,2,5,5,5,5,5,4,4,1,4,3,4,4,4,3,2,2,5,4,2,3,4,3,2,3,5,4,5,3,5,5,4,5,5,4,4,5,5
"26",2,3,2,1,5,5,2,1,5,3,2,1,1,5,4,5,4,1,3,4,2,4,4,1,5,0,1,3,5,4,1,1,2,5,4,4,3,4,2,4,1,2,1,2,2,3,2,2,3,4,3,2,1,4,3,3,3,4,1,3,2,3,1,2,5,2,1,3,5,3
"27",2,3,4,2,2,4,1,4,3,2,3,1,5,4,1,2,3,4,4,5,4,2,5,1,3,5,0,2,1,3,4,4,3,5,4,4,4,3,1,4,2,4,5,5,3,5,1,2,2,5,3,2,1,4,1,2,4,3,2,4,5,3,1,2,3,2,1,4,5,1
"28",3,4,1,4,4,3,2,3,5,1,4,1,1,5,4,5,4,2,4,4,4,4,5,4,4,5,2,0,3,3,2,2,5,4,4,5,5,4,3,4,3,2,3,3,4,2,2,1,4,3,3,4,2,4,4,3,3,5,2,4,4,5,4,3,2,5,1,4,3,4
"29",2,2,1,2,1,5,2,1,1,2,1,4,3,3,3,1,1,1,1,4,1,1,4,1,3,5,1,3,0,2,1,3,2,5,2,2,3,4,1,4,2,2,2,1,2,3,1,1,2,3,3,2,1,4,5,2,1,4,1,1,2,4,1,1,4,2,1,1,4,1
"30",1,2,1,1,2,3,1,1,1,1,1,1,2,4,3,1,2,2,1,4,2,1,2,1,1,3,1,2,2,0,2,1,1,4,2,4,2,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,3,1,2,3,2,1,1,1,1,1,1,3,1
"31",2,4,2,3,3,3,3,3,4,3,4,2,1,4,4,2,4,5,4,4,4,3,3,2,2,4,2,3,1,2,0,2,3,5,3,4,4,4,1,4,3,2,1,3,3,5,2,2,4,3,2,5,1,2,2,3,2,5,1,5,3,2,1,1,4,2,3,4,3,2
"32",2,3,2,2,3,3,2,1,4,1,2,1,1,4,3,1,2,1,5,3,3,1,3,1,1,4,2,3,1,4,4,0,2,5,4,4,5,2,1,4,3,1,1,1,1,2,2,1,4,2,3,3,2,4,1,5,2,4,1,4,3,2,2,2,4,1,3,3,2,1
"33",3,3,1,5,2,3,2,3,2,1,2,1,3,3,1,2,3,1,4,3,4,2,5,1,3,3,1,4,1,3,3,2,0,4,3,4,4,3,3,3,1,2,1,1,1,2,3,1,2,2,4,3,2,3,3,3,4,5,1,2,1,4,1,1,1,1,1,3,4,1
"34",4,3,2,5,4,3,1,3,4,4,1,1,2,5,3,5,5,3,4,5,4,3,5,1,3,5,4,4,3,4,5,3,3,0,4,4,5,5,1,4,1,3,2,3,1,4,2,3,4,5,3,3,1,4,3,3,4,3,2,4,4,4,3,4,2,3,3,4,5,4
"35",1,3,2,2,2,2,1,4,3,1,1,1,3,4,2,3,4,3,5,3,1,2,2,1,2,4,2,1,1,4,3,2,1,4,0,4,4,1,3,3,2,1,1,1,1,2,1,3,4,2,4,4,1,4,1,1,1,3,1,3,5,2,1,1,1,1,2,4,4,1
"36",1,2,2,2,3,4,2,1,4,2,2,2,2,4,4,3,4,2,1,3,5,2,4,3,2,5,1,3,1,4,3,2,2,3,3,0,5,2,1,5,3,1,2,2,1,3,1,1,3,4,3,1,1,4,2,3,1,3,1,5,4,3,1,2,3,2,2,3,5,2
"37",5,5,5,5,4,5,3,3,4,5,5,3,4,5,4,4,5,5,5,5,5,3,5,3,5,5,3,4,4,5,5,5,5,5,5,5,0,5,2,5,3,5,3,5,4,3,4,4,5,5,3,5,3,5,4,4,5,5,2,5,4,5,5,4,4,5,4,4,5,3
"38",3,3,1,3,2,5,1,1,4,1,1,2,1,3,5,1,1,2,1,4,4,1,3,2,3,4,1,3,3,4,2,1,2,5,1,3,3,0,2,3,2,2,3,1,1,4,2,1,1,4,3,1,1,5,2,1,2,3,2,2,1,1,1,1,2,3,1,2,4,1
"39",5,5,2,5,5,5,3,5,4,3,5,3,3,5,5,5,3,3,4,5,5,5,5,4,3,5,2,4,4,5,3,5,4,5,5,5,4,4,0,5,2,5,2,2,4,5,4,3,4,5,4,5,3,5,5,4,4,5,4,5,5,5,5,5,5,4,5,5,5,4
"40",1,4,1,2,3,3,3,2,3,1,1,1,3,4,3,4,3,2,3,5,4,2,5,1,4,4,2,5,2,3,4,3,1,5,5,5,5,2,4,0,2,3,1,3,2,2,2,1,1,5,4,3,1,4,1,3,4,3,2,4,3,4,2,3,4,2,1,4,5,2
"41",1,3,1,1,1,2,1,1,3,3,1,1,2,4,3,2,4,2,3,4,3,1,3,2,3,3,1,2,1,3,3,4,2,5,3,4,3,1,1,3,0,1,2,2,2,3,1,3,3,3,2,1,1,2,2,1,2,3,1,1,4,2,2,1,1,1,1,2,2,1
"42",4,3,1,5,3,5,1,1,3,2,2,4,1,3,1,5,1,1,4,5,4,2,5,2,3,4,1,3,3,4,3,3,3,5,2,4,4,4,3,4,2,0,2,2,2,4,3,1,1,5,2,1,1,5,4,1,4,4,2,4,3,3,4,3,2,3,1,4,3,3
"43",4,3,3,3,2,4,2,1,4,4,2,3,5,5,2,3,2,3,3,5,3,1,5,2,4,5,3,3,3,4,3,3,1,5,2,3,4,3,3,4,1,2,0,4,1,4,1,3,3,5,5,4,2,4,3,2,4,5,1,3,3,4,2,3,5,2,3,5,5,2
"44",1,2,4,1,1,5,1,1,3,2,1,3,3,4,3,3,2,1,2,5,2,1,4,2,1,4,2,2,4,2,3,2,1,4,2,3,4,2,3,5,1,3,2,0,1,2,1,1,1,3,4,1,1,3,1,1,2,2,1,2,2,1,1,1,2,2,1,3,5,1
"45",3,4,1,2,3,3,2,2,3,1,2,1,2,4,1,4,2,2,4,1,5,1,2,1,2,3,2,2,1,4,4,3,3,4,4,5,5,1,1,2,2,4,1,1,0,2,1,2,4,4,2,2,3,2,1,3,3,5,1,3,3,3,2,1,2,1,2,3,4,1
"46",2,4,2,3,1,4,1,2,3,2,1,2,3,4,1,3,1,2,2,5,2,3,4,1,3,4,1,4,3,2,1,1,1,4,3,2,2,3,1,2,1,2,1,1,1,0,1,1,1,3,2,1,1,5,1,1,1,3,1,3,1,3,1,3,2,1,1,1,3,2
"47",5,4,1,5,5,5,2,3,4,1,4,2,1,5,5,4,3,2,4,5,5,4,5,4,5,5,2,5,5,5,4,4,4,5,4,5,5,5,5,4,4,4,2,3,3,4,0,1,2,4,2,4,1,5,5,3,3,4,2,4,1,5,5,3,5,2,5,4,4,2
"48",2,4,3,1,2,3,3,4,3,2,2,1,3,3,1,2,5,1,4,3,3,2,3,1,3,4,2,2,1,2,5,3,1,5,5,5,4,1,1,5,3,1,1,2,3,1,1,0,4,2,4,1,1,4,3,2,2,2,1,2,5,1,1,1,1,1,2,1,3,1
"49",1,3,1,1,2,2,2,4,3,2,3,1,2,5,3,1,4,2,3,5,5,2,1,3,3,5,1,3,3,5,3,4,3,5,5,4,3,1,2,3,2,1,2,2,3,3,1,2,0,4,1,4,1,4,1,2,1,3,1,3,3,5,1,1,2,1,2,4,3,2
"50",1,2,1,1,4,3,2,1,3,2,1,1,5,3,4,4,2,4,1,5,3,2,4,2,3,4,1,2,3,2,1,2,1,5,4,3,2,2,1,4,1,3,3,3,2,2,1,1,1,0,3,2,1,4,1,2,2,1,1,2,3,1,1,1,4,1,2,1,4,1
"51",1,1,4,1,1,3,1,1,2,1,1,1,2,4,1,1,1,1,1,5,1,1,2,1,2,3,1,2,2,2,2,1,1,5,4,3,2,2,1,4,1,3,2,3,1,1,1,2,1,3,0,1,1,2,1,1,1,1,1,2,2,2,1,4,1,1,1,1,3,1
"52",2,4,1,1,1,3,1,1,3,1,2,1,1,2,2,1,1,1,4,3,2,1,2,1,2,1,1,4,1,3,4,3,1,4,2,3,4,2,2,2,1,2,1,1,2,3,2,1,1,2,2,0,1,2,1,1,3,2,1,5,1,2,1,1,1,1,1,3,1,2
"53",4,4,1,4,3,5,2,5,5,3,5,2,3,5,5,3,2,1,4,4,4,4,4,2,3,4,1,4,3,3,3,5,4,5,4,4,4,2,3,5,3,3,2,2,2,2,4,1,1,3,1,3,0,5,4,4,4,5,1,3,2,5,2,2,1,1,1,2,3,2
"54",2,4,1,2,2,4,1,3,3,1,3,3,1,3,1,3,2,1,2,5,1,3,4,1,1,4,2,3,2,1,1,1,1,4,2,5,3,2,1,3,2,1,2,1,2,3,2,2,1,3,3,1,1,0,4,1,1,3,1,2,1,1,4,2,1,2,1,1,5,2
"55",3,3,1,5,3,4,1,1,2,1,1,2,1,4,3,1,1,1,2,5,1,2,3,2,3,5,1,2,1,1,2,1,2,3,1,1,3,4,2,3,1,2,1,1,1,3,4,1,1,2,1,1,1,3,0,1,1,4,1,2,1,4,4,1,1,1,1,2,2,1
"56",1,3,1,1,1,1,1,1,1,1,3,1,1,2,3,1,1,2,3,2,1,1,2,1,1,1,1,2,1,1,2,1,1,3,1,4,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,3,1,1,1,0,1,2,1,3,2,2,1,1,1,1,1,1,2,1
"57",2,5,2,4,4,4,2,1,5,3,3,1,2,3,3,4,2,3,4,4,3,5,5,1,4,5,2,5,1,3,3,2,4,5,5,5,4,3,3,4,4,3,2,2,2,3,1,3,2,4,2,5,1,4,2,2,0,3,2,2,4,3,2,3,2,2,1,4,4,3
"58",2,5,1,3,3,5,2,1,4,2,2,1,1,4,3,3,3,1,4,3,4,4,3,3,1,5,1,4,2,2,3,1,5,5,3,5,5,2,3,4,3,1,2,2,3,3,1,1,2,2,1,2,2,5,2,1,4,0,2,4,2,4,2,1,2,2,1,3,4,2
"59",2,1,3,3,4,4,2,1,3,2,4,2,1,5,2,2,1,1,2,4,2,1,2,2,5,4,1,5,2,4,2,2,3,5,4,4,4,5,2,4,1,3,4,4,1,4,1,1,1,3,4,2,1,5,3,1,3,2,0,2,3,2,2,2,4,3,1,1,5,1
"60",3,4,1,3,3,3,2,4,3,4,1,1,4,4,2,3,3,3,4,5,5,4,2,2,5,5,2,5,3,5,4,3,1,5,3,5,5,4,4,4,3,2,2,2,4,2,2,3,5,4,5,3,2,5,3,2,4,5,2,0,4,4,1,1,2,1,2,5,3,2
"61",2,5,3,3,3,5,4,5,4,3,2,2,3,4,4,5,5,3,5,4,5,3,5,1,3,5,5,5,3,4,5,4,4,5,5,5,5,5,1,5,5,4,4,2,5,4,4,3,4,5,4,4,1,5,2,2,5,5,1,5,0,2,2,1,4,2,3,5,5,3
"62",3,4,1,3,1,3,1,1,3,1,1,1,1,2,2,2,1,1,3,2,3,1,2,1,1,3,1,3,1,1,1,1,2,5,2,3,2,2,1,2,1,2,2,2,1,1,3,1,1,1,1,1,1,3,3,1,1,3,1,1,1,0,3,2,1,1,1,2,1,2
"63",4,1,1,4,1,5,1,2,3,2,3,1,1,4,4,2,1,1,3,5,2,4,4,3,1,5,2,5,3,2,1,1,2,4,3,3,4,2,4,2,1,3,2,2,2,2,2,1,1,3,2,1,1,3,3,3,1,4,2,3,2,5,0,1,3,3,1,2,4,2
"64",3,2,1,3,1,5,3,2,3,3,1,1,2,5,3,3,2,1,3,5,2,3,4,3,5,5,1,4,5,3,2,1,2,4,3,4,3,3,1,5,1,2,2,2,2,5,3,2,1,3,3,2,1,3,1,1,2,3,2,3,1,3,1,0,3,3,1,3,2,1
"65",1,3,1,1,4,5,2,2,2,2,1,1,3,4,3,3,4,2,1,5,3,1,4,2,2,4,2,4,2,5,2,1,2,5,2,5,3,2,1,5,3,2,3,4,3,4,1,2,2,3,4,2,1,4,1,1,5,4,1,3,2,4,2,3,0,2,1,2,5,1
"66",4,3,1,3,2,4,1,2,3,2,1,1,2,5,2,3,1,1,1,4,4,2,5,3,3,5,1,2,2,1,2,1,3,4,3,4,5,4,2,3,2,1,2,2,2,3,2,1,1,4,1,1,1,5,2,1,3,3,1,4,2,5,3,2,4,0,1,3,5,3
"67",4,5,1,4,2,4,3,3,5,1,3,1,2,5,3,2,5,3,5,5,5,2,4,2,2,5,2,4,2,4,3,5,5,5,3,4,5,2,3,3,2,3,2,2,3,4,4,1,4,5,2,4,2,4,2,3,5,5,1,5,3,4,3,2,4,2,0,4,2,1
"68",5,5,3,5,5,5,2,4,5,2,5,2,4,5,3,5,5,4,4,4,4,5,5,3,5,4,2,5,3,4,4,4,5,5,4,5,5,5,3,5,4,5,5,5,4,5,4,4,4,5,5,5,2,4,5,3,5,5,1,3,3,5,5,3,4,3,5,0,5,3
"69",3,3,3,3,2,4,1,1,2,2,1,3,4,4,3,2,1,3,2,5,3,2,4,1,4,4,1,2,2,2,1,3,1,3,2,4,2,2,1,4,2,1,3,2,1,4,2,2,2,5,2,2,1,5,1,2,2,3,2,2,2,2,2,1,4,3,1,3,0,1
"70",3,3,1,5,4,5,1,3,5,2,1,2,1,4,2,2,1,2,3,3,3,4,4,4,2,4,2,4,3,3,2,2,3,4,2,4,2,4,3,3,2,4,2,3,2,5,3,2,2,3,2,1,1,3,4,4,4,4,1,3,1,4,5,1,3,2,1,2,3,0
